Agamemnon	agamemnon
Aglante, cousine de la princesse d'Elide	aglante
Alcantor	alcantor
Alcine	alcine
Amalthée	amalthée
Amans	amants_alcine
Amante de Jason	amante_jason
Amarante	amarante
Amours	amours
Amours déguisés	amour_deguise
Angelique	angelique
Apollon	apollon
Aquilant le Noir	aquilant
Arbate, gouverneur du Prince d’Ithaque	arbate
Ariodant	ariodant
Aristomène, Prince de Messène	aristomene
Aristote	aristote
Armide	armide
Astolphe	astolphe
Atlas	atlas
Bacchantes	bacchantes
Bacchus	bacchus
Batteliers	battelier
Bellone	bellone
Berger(s)	berger
Bergère(s)	bergere
bestes farouches	betes
Borée	boree
Bradamante	bradamante
Brandimart	brandimart
Célie	celie
Charlemagne	charlemagne
Charles Quint	charles_quint
Chevalier(s), Guerrier(s)	chevalier
Cinthie, cousine de la princesse	cinthie
Cléopâtre	cleopatre
Climène	climene
Cloris	cloris
Daphné	daphne
Démons	demon
deux captifs	captif
deux Egyptiens	egyptien
deux Espagnoles	espagnole
deux Espagnols	espagnol
Diane	diane
Dieux marins	dieu_marin
Dircé	dirce
Dorimène	dorimene
dormeurs	dormeur
Dudon	dudon
Énée	enee
Esclaves	esclave
Escuyers	ecuyers
Euryale, prince d'Ithaque	euriale
Faunes	faunes
Femmes	femme
Fleur de lys	fleur_de_lys
Flore	flore
Gardes du Palais	gardes
Géants	geant
Genèvre	genevre
Geronimo	geronimo
Gloire	gloire
Goujat	goujat
Gouvernante	gouvernante
Gouverneur d’Egypte	gouverneur_egypte
Grâces	grace
Graces et des Plaisirs	graces_plaisirs
Grecs	grec
Griffon le blanc	griffon_le_blanc
Guidon le sauvage	guidon_le_sauvage
Hélène	helene
Héraut d'armes	heraut_d_armes
Hercule	hercule
Hommes	homme
Hyacinthe	hyacinthe
Hymen	hymen
Ialousie	jalousie
Indiens	indien
Iphitas, père de la princesse d'Elide	iphitas
Isiphile	isiphile
Jaloux	jaloux
Jardiniers	jardinier
Jules César	jules_cesar
Junon	junon
Jupiter	jupiter
L' Aurore	l_aurore
L'Abondance	abondance
L'Amour	amour
L'Automne	l_automne
L'Eté	l_ete
L'Hiver	l_hiver
l'un d'eux	un_satyre
L’Arioste	arioste
L’Hydre	hydre
La Bonne chère	bonne_chere
la fille d’un Gentilhomme, sa femme	paysan_femme
La France	France
La Guerre	guerre
La Joie	joie
La Paix	paix
La Princesse d'Elide	princesse_d_elide
La Propreté	proprete
La Renommée	renommee
La Victoire	victoire
Le Dragon	dragon
Le Printemps	le_printemps
Le Serpent Python	serpent_python
Le Temps	le_temps
les chagrins	chagrins
les Chasseurs	chasseurs
Les Délices	les_delices
Les douze Signes du Zodiaque	douze_zodiaque
les forgerons	forgerons
Les Heures	douze_heures
Les Jeux	les_jeux
Les Plaisirs	les_plaisirs
Les Ris	les_ris
Les Saisons	quatre_saisons
les soupçons	soupcons
Lycante	lycante
Lycas	lycas
Lyciscas	lyciscas
Marc-Antoine	marc_antoine
Maréchal de camp	marechal_camp
Mars	mars
Maures	maure
Mélénas	menelas
Mélisse	melisse
Mercure	mercure
Minerve	minerve
Moissonneurs	moissonneur
Monstres	monstres
Moron, plaisant de la princesse d'Elide	moron
Musiciens	musicien
Nains	nain
Neptune	neptune
Nympes	nymphe
Oger ou Ogier le danois	oger_le_danois
Olivier	olivier
Orithie	orythie
Ours	ours
Page(s)	page
Page(s) du Roy	page_du_roi
Pallas	pallas
Pan	pan
Pâris	paris
Persans	persan
petits Enfans	enfant
Philène	philene
Philis, suivante de la princesse d'Elide	philis
Plaisirs	plaisir
Pluton	pluton
Premier Boësmienne	premiere_bohemienne
Premier docteur	premier_docteur
Priam	priam
Proserpine	proserpine
Quarante-huit personnes de la suitte des Saisons	suite_saisons
quatorze personnes de leur suitte, Vingt-quatre de la suitte de Pan & de Diane	suite_pan_diane
quatre Egyptiennes	egyptienne
Quatre gallands	galant
quatre petits Garçons, Petits Garçons	petits_garcons
Quatre plaisans / Goguenars	plaisant
Quatre siècles ou quatre âges	quatre_siecles
quatre Valets de Chien, Tous ensemble, Valets de chien, six Valets de Chien	valet_de_chien
Renaud	renaud
Richardet	richardet
Roger	roger
Roland	roland
Romains	romain
sa belle-mère	paysan_belle_mere
Satyre(s)	satyre
satyres	satyres
Sauvages de l’Amérique, sauvages de Colchide	sauvage
Second docteur	second_docteur
Seconde Boësmienne	seconde_bohemienne
Sganarelle	sganarelle
Siècle d'Airain, Age d'airain	le_siecle_d_airain
Siècle d'argent, Age d'argent	le_siecle_d_argent
Siècle d'or, Age d’or	le_siecle_d_or
Siècle de fer, Age de fer	le_siecle_de_fer
Soldats	soldat
son beau-père	paysan_beau_pere
Théocle, prince de Pyle	theocle
Tircis 	tircis
Tritons	triton
Troyens	troyen
Turcs	turc
Un Iuge des Courses	juge_course
Un maistre à danser	maitre_danse
un prince	prince
Un Suiuant	un_suivant
une femme	une_femme
Une Princesse	princesse
Vendangeurs	vendangeur
Vénus	venus
Vertus et des Arts	vertus_arts
Vieillards	vieillard
vn magicien	magicien
Zephire	zephir
Zerbin	zerbin
