lieu_code	document_code	anchor	occurrence	desc
paris_palais_royal	merveilles17_arc_acflagrange_001	placeName	salle au Pallais R	
paris_louvre	merveilles17_arc_acflagrange_002	placeName1	au Louure	
paris_louvre	merveilles17_arc_acflagrange_002	placeName2	l’Apartement bas	
versailles	merveilles17_arc_acflagrange_002	placeName3	Versailles	
fontainebleau	merveilles17_arc_acflagrange_003	placeName	Fontainebleau	
versailles	merveilles17_arc_acflagrange_004	placeName	Versailles	
versailles_chateau	merveilles17_arc_ankk213_001	placeName1	chasteau de Versailles	
versailles	merveilles17_arc_ankk213_001	placeName2	Versailles	
paris	merveilles17_arc_anmcrs388_001	placeName1	Paris	
paris_sainte_anne	merveilles17_arc_anmcrs388_001	placeName2	rue Saincte-Anne	
paris_saint_roch	merveilles17_arc_anmcrs388_001	placeName3	parroisse Sainct-Roch	
paris_louvre	merveilles17_arc_anmcrs388_001	placeName4	les galleryes du Louvre	
paris_saint_germain_l_auxerrois	merveilles17_arc_anmcrs388_001	placeName5	parroisse Sainct-Germainl’Auxerrois	
versailles	merveilles17_arc_anmcrs388_001	placeName6	Versailles	
versailles	merveilles17_arc_anmcrs388_001	placeName7	Versailles	
paris	merveilles17_arc_anmcrs388_001	placeName8	Paris	
paris_louvre	merveilles17_arc_anmcrs388_001	placeName9	galleryes du Louvre	
vincennes_chateau	merveilles17_arc_ano12984_001	placeName1	Chateau de Vincennes	
versailles_chateau	merveilles17_arc_ano12984_001	placeName2	Chateau de Versailles	
fontaineableau_chateau	merveilles17_arc_ano12984_001	placeName3	Chateau de fontainebleau	
versailles_chateau	merveilles17_arc_ano12984_001	placeName4	Chateau de Versailles	
versailles_chateau	merveilles17_arc_bnfmscolbert268_038	placeName1	chasteau de Versailles	
versailles	merveilles17_arc_bnfmscolbert268_038	placeName2	Versailles	
fontainebleau	merveilles17_arc_bnfmsfr6143	placeName1	Fontainebleau	
fontainebleau_hotel_albret	merveilles17_arc_bnfmsfr6143	placeName2	l’hostel d’Albret	
paris_hotel_de_bourgogne	merveilles17_arc_bnfmsfr6143	placeName3	l’hostel de Bourgogne	
fontainebleau_chapelle	merveilles17_arc_bnfmsfr6143	placeName4	Chapelle de Fréminet	
fontainebleau_chateau	merveilles17_arc_bnfmsfr6143	placeName5	la salle de bal	
fontainebleau_chateau	merveilles17_arc_bnfmsfr6143	placeName6	le salon	
fontainebleau_chateau	merveilles17_arc_bnfmsfr6143	placeName7	le salon	
fontaineableau_chateau	merveilles17_arc_bnfmsfr6143	placeName8	un theatre	
versailles	merveilles17_i_bussyrabutin1664_1	placeName	Versailles	
paris_place_des_vosges	merveilles17_i_ctb-perrault1670	placeName1	La Place Royale	
paris_place_tuileries	merveilles17_i_ctb-perrault1670	placeName2	la grande Place	
paris_tuileries_chateau	merveilles17_i_ctb-perrault1670	placeName3	Palais des Thuilleries	
paris_place_tuileries	merveilles17_i_ctb-perrault1670	placeName4	la Grande Place	
paris_hotel_vendome	merveilles17_i_ctb-perrault1670	placeName5	l’Hostel de Vandôme	
paris_rue_richelieu	merveilles17_i_ctb-perrault1670	placeName6	ruës de Richelieu	
paris_rue_honore	merveilles17_i_ctb-perrault1670	placeName7	S. Honoré	
paris_rue_nicaise	merveilles17_i_ctb-perrault1670	placeName8	S. Nicaise	
paris_hotel_vendome	merveilles17_i_ctb-perrault1670	placeName9	l’Hostel de Vandôme	
paris_place_tuileries	merveilles17_i_ctb-perrault1670	placeName10	l’entrée de l’Amphitheatre	
paris_place_tuileries	merveilles17_i_ctb-perrault1670	placeName11	l’entrée de l’Amphitheatre	
paris_place_tuileries	merveilles17_i_ctb-perrault1670	placeName12	l’Amphiteatre	
paris_place_tuileries	merveilles17_i_ctb-perrault1670	placeName13	l’Echafaut des Reynes	
paris_arsenal	merveilles17_i_ctb-perrault1670	placeName14	l’Arsenal	
paris_place_des_vosges	merveilles17_i_ctb-perrault1670	placeName15	la Place Royale	
paris_rue_antoine	merveilles17_i_ctb-perrault1670	placeName16	la ruë Saint Antoine	
paris_rue_honore	merveilles17_i_ctb-perrault1670	placeName17	la ruë Saint Honoré	
paris_tuileries_chateau	merveilles17_i_ctb-perrault1670	placeName18	Palais des Thuilleries	
