forme normalisée	nom du lieu	XXe siècle (si différent)	localité (le cas échéant)	pays	coord	wikipedia	maps (html)	geonames	fictif (oui/non)
allemagne	Allemagne								
elide	Elide			Grèce					oui
espagne	Espagne			-				https://www.geonames.org/2510769	non
europe	Europe								
fontaibleau_chapelle	Chapelle de Fréminet	Chapelle de la Trinité	Fontainebleau	France	48.402140, 2.699699				
fontainebleau	Fontainebleau			France					
fontainebleau_chateau	Château de Fontainebleau		Fontainebleau	France	48.402445, 2.701357	https://fr.wikipedia.org/wiki/Ch%C3%A2teau_de_Fontainebleau		https://www.geonames.org/7535589	non
fontainebleau_hotel_albret	Hôtel d'Albret	4 rue d'Avon	Fontainebleau	France	48.403888, 2.703131				
france	France			-				https://www.geonames.org/3017382	non
franche_comte	Franche-Comté								
grece	Grèce			-				https://www.geonames.org/390903	oui
italie	Italie			-					
parie_rue_antoine	Rue Saint-Antoine		Paris	France	48.854449, 2.363732				
paris	Paris		Paris	France				https://www.geonames.org/2988507	non
paris_arsenal	Arsenal	Bibliothèque de l'Arsenal	Paris	France	48.850360, 2.364179				
paris_chaillot_couvent	Couvent des Visitandines de Chaillot	Détruit	Paris	France	48.861297, 2.287158				
paris_hôtel_de_bourgogne	Hôtel de Bourgogne	Tour Jean Sans Peur	Paris	France	48.864442, 2.348406				
paris_hotel_vendome	Hôtel de Vendôme	Place Vendôme	Paris	France	48.866804, 2.328786				
paris_louvre	Louvre	Musée du Louvre	Paris	France	48.860659, 2.338038				
paris_palais_royal	Palais Royal		Paris	France	48.863788, 2.337395				
paris_palais_royal_theatre	Théâtre du Palais-Royal	Disparu	Paris	France	48.863206, 2.337492				
paris_place_des_vosges	Place Royale	Place des Vosges	Paris	France	48.855520, 2.365602				
paris_place_tuileries	Place des Tuileries	Arc de Triomphe des Tuileries	Paris	France	48.861792, 2.333142				
paris_rue_honore	Rue Saint-Honoré		Paris	France	48.864082, 2.333858				
paris_rue_nicaise	Rue Saint-Niçaise	Disparue	Paris	France	48.861229, 2.334836				
paris_rue_richelieu	Rue de Richelieu		Paris	France	48.867865, 2.337846				
paris_saint_germain_l_auxerrois	Paroisse Saint-Germain l'Auxerrois			France	48.859540, 2.342038				
paris_saint_louis_des_jesuites	Eglise Saint Louis des Jésuites	Eglise St-Paul St-Louis	Paris	France	48.854570, 2.361736				
paris_saint_paul	Eglise Saint Paul des Champs	30-32 rue Saint-Paul (Paris)	Paris	France	48.853922, 2.362283				
paris_saint_roch	Paroisse Saint-Roch		Paris	France	48.866196, 2.332785				
paris_sainte_anne	Rue Sainte-Anne		Paris	France	48.865930, 2.335369				
paris_tuileries_chateau	Palais des Tuileries		Paris	France	48.862226, 2.331402				
rue_saint_jacques	Rue Saint Jacques 		Paris, Vème	France	48.845473, 2.342599	https://fr.wikipedia.org/wiki/Rue_Saint-Jacques_(Paris)			
saint_cloud_chateau	Château de Saint-Cloud	Dom. Nat de Saint Cloud	Saint-Cloud	France	48.837627, 2.216655				
saint_cloud_jardins	Jardins du château de Saint-Cloud	Dom. Nat de Saint Cloud	Saint-Cloud	France	48.837486, 2.213790 				
saint_cloud_ursulines	Monastère des Ursulines de Saint-Cloud	9 rue d'Orléans (Saint-Cloud)	Saint-Cloud	France	48.840129, 2.219135				
saint_germain	Saint-Germain		Saint-Germain-en-Laye	France					
savoie	Savoie								
suresne_mont_valerien	Mont Valérien		Suresne	France	48.873225, 2.213064				
thrace	Thrace			-				https://www.geonames.org/738770	oui
versailles	Versailles		Versailles	France	48.801819, 2.129133				
versailles_canal	Canal de Versailles		Versailles	France	48.804828, 2.120332				
versailles_chateau	Château de Versailles		Versailles	France	48.804992, 2.121900	https://fr.wikipedia.org/wiki/Ch%C3%A2teau_de_Versailles	"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2627.7961865963684!2d2.1181667158552746!3d48.80486841242764!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x538fcc15f59ce8f!2sCh%C3%A2teau%20de%20Versailles!5e0!3m2!1sfr!2sfr!4v1593100867509!5m2!1sfr!2sfr"" width=""600"" height=""450"" frameborder=""0"" style=""border:0;"" allowfullscreen="""" aria-hidden=""false"" tabindex=""0""></iframe>"	https://www.geonames.org/6284980	non
versailles_cour	Cour de Versailles		Versailles	France	48.804759, 2.120846				
versailles_grand_parc	Grand parc de Versailles		Versailles	France	48.810100, 2.099950				
versailles_jardins	Jardins de Versailles		Versailles	France	48.802759, 2.118029	https://fr.wikipedia.org/wiki/Jardin_de_Versailles			
versailles_jardins_allee_des_prés	Allée des prés, Allée de Cérès et de Flore		Versailles	France	48.808373, 2.114021				
versailles_jardins_allee_du_roi	Allée du Roi, Allée de Bacchus et de Saturne		Versailles	France	48.805003, 2.112412				
versailles_jardins_allee_royale	Allée Royale du château de Versailles, le Tapis Vert		Versailles	France	48.806599, 2.114053				
versailles_jardins_avenues	Avenues du Parc de Versailles		Versailles	France	48.807035, 2.111345				
