@key	@role	persName	fichier
louisxiv	destinataire	le Roy	merveilles17_arc_acflagrange_001
saint_aignan	commanditaire	Mr le Duc de St Aignan	merveilles17_arc_acflagrange_001
la_troupe		la Troupe	merveilles17_arc_acflagrange_001
louisxiv	spectateur	le Roy	merveilles17_arc_acflagrange_002
anne_d_autriche		la Reyne Mere	merveilles17_arc_acflagrange_002
la_troupe		La Troupe	merveilles17_arc_acflagrange_002
louisxiv	commanditaire	Roy	merveilles17_arc_acflagrange_002
la_troupe		La Troupe	merveilles17_arc_acflagrange_003
flavio_chigi	spectateur	Monsieur le Legat	merveilles17_arc_acflagrange_003
louisxiv	commanditaire	Roy	merveilles17_arc_acflagrange_003
		autheurs	merveilles17_arc_acflagrange_003
la_troupe		La Troupe	merveilles17_arc_acflagrange_003
la_troupe		La Troupe	merveilles17_arc_acflagrange_004
louisxiv	commanditaire	Roy	merveilles17_arc_acflagrange_004
moliere		Jean Baptiste Pocquelin de Moliere	merveilles17_arc_ankk213_001
monsieur		Monsieur	merveilles17_arc_ankk213_001
la_troupe		la trouppe	merveilles17_arc_ankk213_001
moliere	auteur	Jean-Baptiste Pocquelin de Moliere	merveilles17_arc_ankk213_001
monsieur		Monsieur	merveilles17_arc_ankk213_001
la_troupe		sa trouppe	merveilles17_arc_ankk213_001
antoine_petit	fournisseur	Anthoine Petit	merveilles17_arc_anmcrs388_001
vigarani	organisation	Maistre Charles de Vigarany	merveilles17_arc_anmcrs388_001
vigarani	organisation	sieur Vigarany	merveilles17_arc_anmcrs388_001
antoine_petit	fournisseur	Petit	merveilles17_arc_anmcrs388_001
antoine_petit	fournisseur	Petit	merveilles17_arc_anmcrs388_001
vigarani	organisation	sieur Vigarany	merveilles17_arc_anmcrs388_001
vigarani	organisation	sieur Vigarany	merveilles17_arc_anmcrs388_001
antoine_petit	fournisseur	Petit	merveilles17_arc_anmcrs388_001
antoine_petit	fournisseur	Petit	merveilles17_arc_anmcrs388_001
vigarani	organisation	sieur Vigarany	merveilles17_arc_anmcrs388_001
vigarani	organisation	VIGARANY	merveilles17_arc_anmcrs388_001
antoine_petit	fournisseur	A. PETIT	merveilles17_arc_anmcrs388_001
simon_chuppin		CHUPPIN	merveilles17_arc_anmcrs388_001
louis_lenormand		LENORMAND	merveilles17_arc_anmcrs388_001
louisxiv		Roy	merveilles17_arc_ano12984_001
michel_daligre	organisation	Michel daligre	merveilles17_arc_ano12984_001
christophe_gaulard	organisation	Cristophe Gaulard	merveilles17_arc_ano12984_001
		Roy	merveilles17_arc_ano12984_001
	destinataire	Mad.e. La duchesse de Savoye	merveilles17_arc_ano12984_001
	destinataire	Mons. Le duc d’Anguien	merveilles17_arc_ano12984_001
louisxiv	spectateur	Sa Majesté	merveilles17_arc_ano12984_001
