technique_code	document_code	anchor	occurrence
costume	merveilles17_arc_acflagrange_001	tech	des habitz qui estoient extraordinaires
construction	merveilles17_arc_anmcrs388_001	tech1	theatre
construction	merveilles17_arc_anmcrs388_001	tech2	theatre
construction	merveilles17_arc_anmcrs388_001	tech3	pont de derriere
construction	merveilles17_arc_anmcrs388_001	tech4	deux de devant
decor	merveilles17_arc_anmcrs388_001	tech5	quatre rochers
construction	merveilles17_arc_anmcrs388_001	tech6	pont de derriere
construction	merveilles17_arc_anmcrs388_001	tech7	ponts de devant
decor	merveilles17_arc_anmcrs388_001	tech8	petits rochers
lumieres	merveilles17_arc_ano12984_001	tech1	cires blanches et jaulne
feu-artifice	merveilles17_arc_ano12984_001	tech2	feux d’artifices
feu-artifice	merveilles17_arc_ano12984_001	tech3	les feux d’artifices
machine	merveilles17_arc_ano12984_001	tech4	machines
feu-artifice	merveilles17_arc_ano12984_001	tech5	feu d’artifice
feu-artifice	merveilles17_arc_ano12984_001	tech6	vn feu d’artifice
musique	merveilles17_arc_bavmscheii38	tech1	d’airs muscicaux
machine_musique	merveilles17_arc_bavmscheii38	tech2	une machine
musique	merveilles17_arc_bavmscheii38	tech3	la contrebasse, de la viole, du violon et de la trompette et du tambourin
machine_musique	merveilles17_arc_bavmscheii38	tech4	La machine
machine	merveilles17_arc_bnfmsfr6143	tech1	de machines
lumieres	merveilles17_arc_bnfmsfr6143	tech2	quatre flambeaux de poing
costume	merveilles17_arc_bnfmsfr6143	tech3	la croix de diamants
costume	merveilles17_i_ctb-perrault1670	tech1	couvert des armes qu’il prend quand il marche contre ses Ennemis, ny dans cét équipage qui fait trembler toute l’Europe
costume	merveilles17_i_ctb-perrault1670	tech2	la richesse des habits
animal	merveilles17_i_ctb-perrault1670	tech3	les nombre des chevaux & des équipages
construction	merveilles17_i_ctb-perrault1670	tech4	Amphitéatre
animal	merveilles17_i_ctb-perrault1670	tech5	chevaux
construction	merveilles17_i_ctb-perrault1670	tech6	un Camp de quarante cinq toises en quarré, fermé de doubles barrieres, distantes l’une de l’autre, de quinze toises, pour le passages des Quadrilles ; à douze pieds loin de la derniere barriere furent dressez des échaffaux qui environnoient tout le Camp
	merveilles17_i_ctb-perrault1670	tech7	échaffaux
animal	merveilles17_i_ctb-perrault1670	tech8	tous les chevaux de main
construction	merveilles17_i_ctb-perrault1670	tech9	Les échaffaux
construction	merveilles17_i_ctb-perrault1670	tech10	un Amphiteatre
construction	merveilles17_i_ctb-perrault1670	tech11	cét Amphitheatre
construction	merveilles17_i_ctb-perrault1670	tech12	l’Amphiteatre
construction	merveilles17_i_ctb-perrault1670	tech13	grand échaffaut
construction	merveilles17_i_ctb-perrault1670	tech14	l’Amphitheatre
construction	merveilles17_i_ctb-perrault1670	tech15	leur échaffaut
construction	merveilles17_i_ctb-perrault1670	tech16	Le Dais
construction	merveilles17_i_ctb-perrault1670	tech17	l’Amphitheatre
costume	merveilles17_i_ctb-perrault1670	tech18	vétu à la Romaine, d’un habit en broderie d’or & d’argent sur un fonds de satin couleur de feu, les brodequins de même ; le tout garny d’une quantité innombrable de Rubis, son Casque étoit enrichy de pierreries, & ombragé d’un grand bouquet de plumes, aussi couleur de feu, avec une Agrette noire au milieu : Il portoit en sa main le bâton de Commandant qui étoit d’or
animal	merveilles17_i_ctb-perrault1670	tech19	le harnois de son cheval étoit pareillement en broderie d’or & d’argent, avec de grandes Aigles, & garny d’une infinité de rubans, ainsi que les crins & la queüe
animal	merveilles17_i_ctb-perrault1670	tech20	quatre chevaux de main
construction	merveilles17_i_ctb-perrault1670	tech21	l’Amphitheatre
construction	merveilles17_i_ctb-perrault1670	tech22	l’Echafaut
construction	merveilles17_i_ctb-perrault1670	tech23	aux deux costez de l’Echafaut
construction	merveilles17_i_ctb-perrault1670	tech24	l’Amphitheatre
costume	merveilles17_i_ctb-perrault1670	tech25	tout couverts de broderie d’or & d’argent, avec des Aigles d’or ; en broderie sur les banderolles de leurs Trompettes
animal	merveilles17_i_ctb-perrault1670	tech26	sur les housses de leurs chevaux
animal	merveilles17_i_ctb-perrault1670	tech27	vingt chevaux de main
animal	merveilles17_i_ctb-perrault1670	tech28	cinquante chevaux de main
construction	merveilles17_i_ctb-perrault1670	tech29	l’Amphitheatre
construction	merveilles17_i_ctb-perrault1670	tech30	l’Eschafaut des Reynes
construction	merveilles17_i_ctb-perrault1670	tech31	l’Amphitheatre
animal	merveilles17_i_ctb-perrault1670	tech32	vingt chevaux de main des Chevaliers
animal	merveilles17_i_ctb-perrault1670	tech33	vingt-quatre chevaux de main de Monsieur
animal	merveilles17_i_ctb-perrault1670	tech34	vingt chevaux de main des Chevaliers
animal	merveilles17_i_ctb-perrault1670	tech35	vingt-quatre chevaux du Chef de la Quadrille
costume	merveilles17_i_ctb-perrault1670	tech36	les habits étoient couverts de Perles & de Corail
costume	merveilles17_i_ctb-perrault1670	tech37	des Carquois couverts de perles & de diamans
animal	merveilles17_i_ctb-perrault1670	tech38	Les chevaux étoient caparaçonnez de peaux de Lions, de Leopars, & de Tigres
costume	merveilles17_i_ctb-perrault1670	tech39	vétu de peaux de Dragon
construction	merveilles17_i_ctb-perrault1670	tech40	l’Echafaut des Reynes
costume	merveilles17_i_ctb-perrault1670	tech41	l’entente ingenieuse des habits
