document_code	lieu_code	occurrence
merveilles17_img_ano13238_068	versailles_bassin-apollon	
merveilles17_imp_ctb-perrault1670	paris_rue_antoine	la ruë Saint Antoine
merveilles17_imp_dv-felibien1676		Chasteau
merveilles17_imp_gdv-felibien1668	versailles_etang_clagny	grand Etang
merveilles17_imp_gdv-felibien1668	versailles_etang_clagny	Tour de la pompe
merveilles17_imp_gdv-felibien1668	versailles_etang_clagny	Tour
merveilles17_imp_gdv-felibien1668	versailles_etang_clagny	Tour
merveilles17_imp_gdv-felibien1668	versailles_etang_clagny	Tour
merveilles17_imp_loret16640216	paris_palais_royal	Palais Royal
merveilles17_imp_loret16640216	paris_palais_royal_theatre	Téatre
merveilles17_ms_ano12984_001	fontaineableau_chateau	Chateau de fontainebleau
merveilles17_ms_bnfmsfr6143	fontainebleau_hotel_albret	l’hostel d’Albret
