name	document_code	anchor	occurrence
japon	Antilope_imp_gazette17221121	name2	Japon
chine	Antilope_imp_gazette17221121	name3	Chine
indes	Antilope_imp_gazette17221121	name4	Indes
Thétis	Antilope_imp_gazette17221121	name5	Thetis
tritons	Antilope_imp_gazette17221121	name6	Tritions
Thétis	Antilope_imp_gazette17221121	name7	la Déesse
Thétis	Antilope_imp_gazette17221121	name8	Thetis
ophee	Antilope_imp_gazette17221121	name9	Orphée
diane	Antilope_imp_gazette17221121	name10	Diane
nymphes	Antilope_imp_gazette17221121	name11	ses Nymphes
nymphes	Antilope_imp_gazette17221121	name12	Nymphes
diane	Antilope_imp_gazette17221121	name13	Diane
saintdenisapotre	Antilope_imp_gazette17221121	name14	Saint Denis
saintlouis	Antilope_imp_gazette17221121	name15	Saint Loüis
saints	Antilope_imp_gazette17221121	name16	des Saints Martirs,
saintlouis	Antilope_imp_gazette17221121	name17	Saint Loüis
persee	Antilope_imp_gazette17221121	name18	Persée
dieu	Antilope_imp_gazette17221201	name2	Ciel
dieu	Antilope_imp_gazette17221201	name3	Dieu
dieu	Antilope_imp_gazette17221201	name4	Dieu
saint_louis	Antilope_imp_gazette17221201	name5	Saint Louis
dieu	Antilope_imp_gazette17221201	name6	Dieu
charlemagne	Antilope_imp_gazette17221201	name7	Charlemagne
dieu	Antilope_imp_gazette17221201	name8	Dieu
saint_remy	Antilope_imp_gazette17221201	name9	Saint Remy
charlemagne	Antilope_imp_gazette17221201	name10	Charlemagne
charlemagne	Antilope_imp_gazette17221201	name11	Charlemagne
charlemagne	Antilope_imp_gazette17221201	name12	Charlemagne
charlemagne	Antilope_imp_gazette17221201	name13	Charlemagne
charlemagne	Antilope_imp_gazette17221201	name14	Charlemagne
charlemagne	Antilope_imp_gazette17221201	name15	Charlemagne
saint_michel	Antilope_imp_gazette17221201	name16	Saint Michel
saint_marcoul	Antilope_imp_gazette17221201	name17	Saint Marcoul
saint marcoul	Antilope_imp_gazette17221201	name18	Saint Marcoul
dieu	Antilope_imp_gazette17221201	name19	Dieu
thetis	Antilope_imp_gazette17221201	name20	Thetis
tritons	Antilope_imp_gazette17221201	name21	Tritons
thetis	Antilope_imp_gazette17221201	name22	Déesse
thetis	Antilope_imp_gazette17221201	name23	Thetis
orphee	Antilope_imp_gazette17221201	name24	Orphée
diane	Antilope_imp_gazette17221201	name25	Diane
nymphes	Antilope_imp_gazette17221201	name26	Nymphes
nymphes	Antilope_imp_gazette17221201	name27	Nymphes
diane	Antilope_imp_gazette17221201	name28	Diane
saint_denis	Antilope_imp_gazette17221201	name29	Saint Denis
saint_louis	Antilope_imp_gazette17221201	name30	Saint Loüis
saint_martyrs	Antilope_imp_gazette17221201	name31	Saints Martirs
saintlouis	Antilope_imp_gazette17221201	name32	Saint Loüis
persee	Antilope_imp_gazette17221201	name33	Persée
sanchopansa	Antilope_imp_mercure17221101	name2	Sancho Pansa
baccus	Antilope_imp_mercure17221101	name3	Baccus
baccus	Antilope_imp_mercure17221101	name4	Dieu
satire	Antilope_imp_mercure17221101	name5	Satires
satire	Antilope_imp_mercure17221101	name6	demi-Dieux
godart	Antilope_imp_mercure17221101	name7	Godart
perdrigeon	Antilope_imp_mercure17221101	name8	Perdrigeon
benachi	Antilope_imp_mercure17221101	name9	Benachi
docteurbarry	Antilope_imp_mercure17221101	name10	le Docteur Barry
docteurbarry	Antilope_imp_mercure17221101	name11	Docteur Barry
ducreux	Antilope_imp_mercure17221101	name12	Du Creux & Baraillon
cadetboutique	Antilope_imp_mercure17221101	name13	Cadet
messagerboutique	Antilope_imp_mercure17221101	name14	Messager
de_baptiste	Antilope_imp_mercure17221101	name15	de Baptiste & de Dimanche
lesgu	Antilope_imp_mercure17221101	name16	Lesgu & la Frenaye
fredoc	Antilope_imp_mercure17221101	name17	Fredoc
briocheboutique	Antilope_imp_mercure17221101	name18	Brioché
procope	Antilope_imp_mercure17221101	name19	Procope
breadboutique	Antilope_imp_mercure17221101	name20	Breard
meblanchetheatre	Antilope_imp_mercure17221101	name21	Me Blanche
messagerboutique	Antilope_imp_mercure17221101	name22	Messager
docteurbarry	Antilope_imp_mercure17221101	name23	Docteur Barry
dorvietan	Antilope_imp_mercure17221101	name24	d’Orvietan
lesgu	Antilope_imp_mercure17221101	name25	Lesgu & la Frenaye
messagerboutique	Antilope_imp_mercure17221101	name26	Messager
perdrigeon	Antilope_imp_mercure17221101	name27	Perdrigeon
dieuxgrecques	Antilope_imp_mercure17221101	name28	Dieux
renomeepersonifie	Antilope_imp_mercure17221101	name29	Renommée
temps	Antilope_imp_mercure17221101	name30	Temps
domjuan	Antilope_imp_mercure17221101	name31	Dom Juan
domjuan	Antilope_imp_mercure17221101	name32	Dom Juan
domjuan	Antilope_imp_mercure17221101	name33	Dom Juan
domjuan	Antilope_imp_mercure17221101	name34	Dom Juan
domjuan	Antilope_imp_mercure17221101	name35	Dom Juan
letasse	Antilope_imp_mercure17221101	name36	Tasse
jerusalem	Antilope_imp_mercure17221101	name37	Jerusalem
letasse	Antilope_imp_mercure17221101	name38	Poëte
silvie	Antilope_imp_mercure17221101	name39	Silvie
silvie	Antilope_imp_mercure17221101	name40	Silvie
thetis	Antilope_imp_mercure17221101	name41	Divinitez des Eaux
thetis	Antilope_imp_mercure17221101	name42	Thetis
triton	Antilope_imp_mercure17221101	name43	Tritons
thetis	Antilope_imp_mercure17221101	name44	Déese
thetis	Antilope_imp_mercure17221101	name45	Thetis
