personne_code	document_code	anchor	occurrence	role_code
vigarani	merveilles17_img_ano13238_015	author1	Vigarani, Carlo (d'après)	auteur
chauveau	merveilles17_img_ano13238_068	author1	Chauveau, François (d'après)	auteur
lepautre	merveilles17_img_ano13239_081	author1	Lepautre, Jean	auteur
isilvestre	merveilles17_img_ano13239_081	author2	Silvestre, Israël	auteur
vigarani	merveilles17_img_ano13242a_052	author1	Vigarani, Carlo (d'après)	auteur
vigarani	merveilles17_img_ano13242a_088	author1	Vigarani, Carlo (d'après)	auteur
lepautre	merveilles17_img_ano13242a_089	author1	Lepautre, Jean	auteur
isilvestre	merveilles17_img_ano13242a_089	author2	Silvestre, Israël (d'après)	auteur
lepautre	merveilles17_img_ano13242b_001	author1	Lepautre, Jean	auteur
isilvestre	merveilles17_img_ano13242b_001	author2	Silvestre, Israël (d'après)	auteur
louisxiv	merveilles17_img_ano13242b_001	pers1		participant
chauveau	merveilles17_img_bnfoperaea2_034	author1	Chauveau, François	auteur
chauveau	merveilles17_img_bnfoperaea2_035	author1	Chauveau, François	auteur
louisxiv	merveilles17_img_bradamante_001	pers1	Le ROY	spectateur
lepautre	merveilles17_img_dv1alceste	author1	Lepautre, Jean (1618-1682)	auteur
lepautre	merveilles17_img_dv1alceste	pers1	le Pautre	auteur
chauveau	merveilles17_img_dv2concerts	author1	Chauveau François (1613-1676)	auteur
chauveau	merveilles17_img_dv2concerts	pers1	F. Chauveau	auteur
lepautre	merveilles17_img_dv3comedie	author1	Lepautre, Jean (1618-1682)	auteur
lepautre	merveilles17_img_dv3comedie	pers1	le Pautre	auteur
lepautre	merveilles17_img_dv4festin	author1	Lepautre, Jean (1618-1682)	auteur
lepautre	merveilles17_img_dv4festin	pers1	le Pautre	auteur
lepautre	merveilles17_img_dv5feu	author1	Lepautre, Jean (1618-1682)	auteur
lepautre	merveilles17_img_dv5feu	pers1	le Pautre	auteur
lepautre	merveilles17_img_dv6illuminations	author1	Lepautre, Jean (1618-1682)	auteur
lepautre	merveilles17_img_dv6illuminations	pers1	le Pautre	auteur
lepautre	merveilles17_img_pie1comparse	author1	Lepautre, Jean (1618-1682)	auteur
isilvestre	merveilles17_img_pie1comparse	author2	Silvestre, Israël (1621-1691).	auteur
louisxiv	merveilles17_img_pie1comparse	pers1		participant
louisxiv	merveilles17_img_pie1comparse	pers2	Roy	participant
isilvestre	merveilles17_img_pie1comparse	pers3	Israel Siluestre	auteur
lepautre	merveilles17_img_pie1course	author1	Lepautre, Jean	auteur
isilvestre	merveilles17_img_pie1course	author2	Silvestre, Israël	auteur
louisxiv	merveilles17_img_pie1course	pers1		participant
louisxiv	merveilles17_img_pie1course	pers2	le Roy	participant
isilvestre	merveilles17_img_pie1course	pers3	Israel Siluestre	auteur
