document_code	personne_code	occurrence
Antilope_imp_gazette17221201	sieurlejeune	le Jeune
Antilope_imp_gazette17221201	sieurlejeune	le Jeune
Antilope_imp_gazette17221201	jean_perrin	Perrin
Antilope_imp_gazette17221201	jean_perrin	Perrin
Antilope_imp_gazette17221201	jean_jacques_de_mesmes	de Malte
Antilope_imp_gazette17221201	jean_jacques_de_mesmes	de Malte
Antilope_imp_gazette17221201	milletsr	Millet
Antilope_imp_gazette17221201	de_varenne_sr	de Varenne
Antilope_imp_gazette17221201	milletsr	Millet
Antilope_imp_gazette17221201	de_varenne_sr	de Varenne
Antilope_imp_gazette17221201	peregaudart	Pere Gaudart
Antilope_imp_gazette17221201	godet	Godet
Antilope_imp_gazette17221201	de_sainte_catherine_chevalier	de Sainte Catherine
Antilope_imp_gazette17221201	Clignet	sieur Clignet
Antilope_imp_gazette17221201	peregaudart	Grand Prieur de l’Abbaye de Saint Remy
Antilope_imp_gazette17221201	peregaudart	Prelat
Antilope_imp_gazette17221201	peregaudart	le Grand Prieur
Antilope_imp_gazette17221201	peregaudart	le Grand Prieur
Antilope_imp_gazette17221201	godet	Godet
Antilope_imp_gazette17221201	de_sainte_catherine_chevalier	de Sainte Catherine
Antilope_imp_gazette17221201	Clignet	sieur Clignet
Antilope_imp_gazette17221201	peregaudart	le Grand Prieur de l’Abbaye de Saint Remy
Antilope_imp_gazette17221201	peregaudart	Prelat
Antilope_imp_gazette17221201	peregaudart	il
Antilope_imp_gazette17221201	guinaut_abbe	l’Abbé Guinaut
Antilope_imp_gazette17221201	peregaudart	le Grand Prieur de l’Abbaye de Saint Remy
Antilope_imp_gazette17221201	jean_jacques_de_mesmes	L'Ambassadeur de Malte
Antilope_imp_gazette17221201	jean_jacques_de_mesmes	l’Ambassadeur de Malte
Antilope_imp_gazette17221201	jean_jacques_de_mesmes	L'Ambassadeur de Malte
Antilope_imp_gazette17221201	peregaudart	le Grand Prieur
Antilope_imp_gazette17221201	jean_hallé	sieur Hallé
Antilope_imp_gazette17221201	jean_hallé	sieur Hallé
Antilope_imp_gazette17221201	milletsr	Millet
Antilope_imp_gazette17221201	de_varenne_sr	de Varenne
Antilope_imp_gazette17221201	milletsr	l’Huissier
Antilope_imp_gazette17221201	jean_hallé	Heraut
Antilope_imp_gazette17221201	jean_hallé	Heraut
Antilope_imp_gazette17221201	milletsr	l’Huissier
Antilope_imp_gazette17221201	jean_hallé	Heraut
Antilope_imp_gazette17221201	de_varenne_sr	l’Huissier
Antilope_imp_gazette17221201	jean_hallé	Heraut
Antilope_imp_gazette17221201	de_varenne_sr	l’Huissier
Antilope_imp_gazette17221201	jean_hallé	Heraut
Antilope_imp_gazette17221201	de_varenne_sr	l’Huissier
Antilope_imp_gazette17221201	jean_hallé	Heraut
Antilope_imp_gazette17221201	de_varenne_sr	l’Huissier
Antilope_imp_gazette17221201	jean_hallé	Heraut
Antilope_imp_gazette17221201	de_varenne_sr	l’Huissier
Antilope_imp_gazette17221201	jean_hallé	Le sieur Hallé
Antilope_imp_gazette17221201	jean_hallé	Le sieur Hallé
Antilope_imp_gazette17221201	guinaut_abbe	un Chapelain de Sa Majesté
Antilope_imp_mercure17221101		Anonyme (1722)
Antilope_imp_mercure17221101	elisabeth_charlotte_dorleans	une grande Princesse
Antilope_imp_mercure17221101	armand_jean_plessis_richelieu	Le Cardinal Richelieu
Antilope_imp_mercure17221101	sieurpesier	Sieur Pesier
Antilope_imp_mercure17221101	sieurpesier	il
Antilope_imp_mercure17221101	hubert_de_courtarvel	le Chevalier de Pesée
Antilope_imp_mercure17221101	hubert_de_courtarvel	le Chevalier de Pesée
Antilope_imp_mercure17221101	marie_anne_catherine_estrees	la Marquise de Courtenvaux
Antilope_imp_mercure17221101	louisriccoboni	Sieur Lelio
Antilope_imp_mercure17221101	marie_anne_catherine_estrees	la Marquise de Courtenvaux
Antilope_imp_mercure17221101	gabrielvincentthevenard	Sieur Thevenard
Antilope_imp_mercure17221101	pierredumoulin	Sieur Dumoulin
Antilope_imp_mercure17221101	francoiseprevot	Mlle Prevôt
Antilope_imp_mercure17221101	mauricesaxe	Le Comte de Saxe
Antilope_imp_mercure17221101	mauricesaxe	Le Comte de Saxe
Antilope_imp_mercure17221101	mauricesaxe	Le Comte de Saxe
Antilope_imp_mercure17221101	mauricesaxe	Comte de Saxe
Antilope_imp_mercure17221101	mauricesaxe	il
Antilope_imp_mercure17221101	mauricesaxe	Comte de Saxe
Antilope_imp_mercure17221101	mauricesaxe	il
Antilope_imp_mercure17221101	mauricesaxe	qu’il
Antilope_imp_mercure17221101	mauricesaxe	il
Antilope_imp_mercure17221101	françois_II_du_prat_barbençon	Le Marquis de Barbançon
Antilope_imp_mercure17221101	jacqueseleonor_rouxeldegrancey	Marquis de Grancey
Antilope_imp_mercure17221101	me_thierry	Me Thierry
Antilope_imp_mercure17221101	sieur_malterre	Sieurs Malterre
Antilope_imp_mercure17221101	sieur_javiliers	Javiliers
Antilope_imp_mercure17221101	pierredumoulin	Sieur Dumoulin
Antilope_imp_mercure17221101	demoiselle_rey	Dlle Rey
Antilope_imp_mercure17221101	sieur_corbie	Sieur Corbie
Antilope_imp_mercure17221101	jeanbaptistedeshayes	Sieur Deshayes
Antilope_imp_mercure17221101	dominiquebianconelli	Trivelin
Antilope_imp_mercure17221101	sieur_paqueti	Sieur Paqueti
Antilope_imp_mercure17221101	flaminialadelle	Dlle Flaminia
Antilope_imp_mercure17221101	demoiselleduvalpseudo	Dlle Duval
Antilope_imp_mercure17221101	sieur_saint_martin_acteur	Sieur S. Martin
Antilope_imp_mercure17221101	dlle_souris	Dlle Souris
Antilope_imp_mercure17221101	sieur_javiliers	Sieur Javilliers
Antilope_imp_mercure17221101	dlle_mangot	Dlle Mangot
Antilope_imp_mercure17221101	sieur_buzeau	Buzeau
Antilope_imp_mercure17221101	dlle_perignon	Dlle Perignon
Antilope_imp_mercure17221101	vincent_charles_delestoile	Le Sieur Dumirail
Antilope_imp_mercure17221101	dlle_souris_aine	Souris
Antilope_imp_mercure17221101	dlle_du_coudray	du Coudray
Antilope_imp_mercure17221101	dominiquebianconelli	Trivelin
Antilope_imp_mercure17221101	flaminialadelle	Flaminia
Antilope_imp_mercure17221101	flaminialadelle	Dlle Flaminia
Antilope_imp_mercure17221101	marie_anne_victoire_espagne	l’Infante-Reine
Antilope_imp_mercure17221101	mariefertesenneterre	Madame la Duchesse de la Ferté
Antilope_imp_mercure17221101	marie_anne_victoire_espagne	l’Infante-Reine
Antilope_imp_mercure17221101	mariefertesenneterre	Madame la Duchesse de la Ferté
Antilope_imp_mercure17221101	sieurpercourt	Sieur Percourt
Antilope_imp_mercure17221101	jeanjosephmouret	Sieur Mouret
Antilope_imp_mercure17221101	jeanjosephmouret	Sieur Mouret
Antilope_imp_mercure17221101	francoiseprevot	Dlle Prevost
Antilope_imp_mercure17221101	francoisdumoulin	Sieur du Moulin
Antilope_imp_mercure17221101	sieurlaval	Sieur Laval
Antilope_imp_mercure17221101	dllecorail	Dlle Corail
Antilope_imp_mercure17221101	pierredumoulin	Sieurs Dumoulin
Antilope_imp_mercure17221101	marceldanseur	Sieurs Marcel
Antilope_imp_mercure17221101	dupredanseur	Dupré
Antilope_imp_mercure17221101	gervaismusiqueducorleans	Sieur Gervais
Antilope_imp_mercure17221101	mariannehelenedelamotte	M. de la Motte
Antilope_imp_mercure17221101	sieurperrot	Sieur Perrot
Antilope_imp_mercure17221101	mr_duperier	M. Duperier
Antilope_imp_mercure17221101	louis_ii_sanguin	Marquis de Livry
Antilope_imp_mercure17221101	annemontmorency	Connétable de Montmorency
Antilope_imp_mercure17221101	louisdefrance	Monseigneur
Antilope_imp_mercure17221101	louisdefrance	Monsieur le Dauphin
Antilope_imp_mercure17221101	empereurcharlevii	l’Electeur de Baviere
Antilope_imp_mercure17221101	felipeiv	Roy Catholique
Antilope_imp_mercure17221101	henry_tour_auvergne	M. de Turenne
Antilope_imp_mercure17221101	henri_jules_bourboncondé	Henri-Jules
Antilope_imp_mercure17221101	charlesmichelgaspard_saulx	Le Comte de Tavanes
Antilope_imp_mercure17221101	charlesmichelgaspard_saulx	Le Comte de Tavanes
Antilope_imp_mercure17221101	guillaumedubois	Cardinal du Bois
Antilope_imp_mercure17221101	josephpierrecastelanne	l’Evêque de Frejus
Antilope_imp_mercure17221101	jeanfrederic_phelypeaux_maurepas	le Comte de Maurepas
Antilope_imp_mercure17221101	guillaumedubois	Cardinal du Bois
Antilope_imp_mercure17221101	josephpierrecastelanne	l’Evêque de Frejus
Antilope_imp_mercure17221101	jeanfrederic_phelypeaux_maurepas	le Comte de Maurepas
Antilope_imp_mercure17221101	claudebaptiste_dodart	M. Dodart
Antilope_imp_mercure17221101	francoisgigotdelapeyronie	M. de la Peyronie
Antilope_imp_mercure17221101	claudebaptiste_dodart	M. Dodart
Antilope_imp_mercure17221101	francoisgigotdelapeyronie	M. de la Peyronie
Antilope_imp_mercure17221101	sieurbourlet	Sieur Bourlet
Antilope_imp_mercure17221101	mr_dumar	M. Dumar
Antilope_imp_mercure17221101	mr_gruyer	Gruyer
Antilope_imp_mercure17221101	toussaint_rose	President Roze
Antilope_imp_mercure17221101	mr_destin	M. Destin
Antilope_imp_mercure17221101	mr_destin	il
Antilope_imp_mercure17221101	marieantier	Elle
Antilope_imp_mercure17221101	marieantier	Elle
Antilope_imp_mercure17221101	marieantier	Dlle Antier
Antilope_imp_mercure17221101	jean_ii_berin	Sieur Berin
Antilope_imp_mercure17221101	jean_ii_berin	pere
Antilope_imp_mercure17221101	louis_iii_bourbonconde	Monsieur le Prince
Antilope_imp_mercure17221101	louisdefrance	Monseigneur le Dauphin
Antilope_imp_mercure17221101	marcantoinelegrand	Sieur le Grand
Antilope_imp_mercure17221101	sieurblondi	Sieur Blondi
Antilope_imp_mercure17221101	jeanlouismansienne	Sieur Mansienne
