le Roy	#louisxiv	destinataire	merveilles17_arc_acflagrange_001	pers1
Mr le Duc de St Aignan	#saint_aignan	commanditaire	merveilles17_arc_acflagrange_001	pers2
la Troupe	la_troupe		merveilles17_arc_acflagrange_001	pers3
le Roy	#louisxiv	spectateur	merveilles17_arc_acflagrange_002	pers1
la Reyne Mere	#anne_d_autriche		merveilles17_arc_acflagrange_002	pers2
La Troupe	#la_troupe		merveilles17_arc_acflagrange_002	pers3
Roy	#louisxiv	commanditaire	merveilles17_arc_acflagrange_002	pers4
La Troupe	#la_troupe		merveilles17_arc_acflagrange_003	pers1
Monsieur le Legat	#flavio_chigi	spectateur	merveilles17_arc_acflagrange_003	pers2
Roy	louisxiv	commanditaire	merveilles17_arc_acflagrange_003	pers3
autheurs			merveilles17_arc_acflagrange_003	pers4
La Troupe	la_troupe		merveilles17_arc_acflagrange_003	pers5
La Troupe	#la_troupe		merveilles17_arc_acflagrange_004	pers1
Roy	louisxiv	commanditaire	merveilles17_arc_acflagrange_004	pers2
Jean Baptiste Pocquelin de Moliere	#moliere		merveilles17_arc_ankk213_001	pers1
Monsieur	#monsieur		merveilles17_arc_ankk213_001	pers2
la trouppe	#la_troupe		merveilles17_arc_ankk213_001	pers3
Jean-Baptiste Pocquelin de Moliere	#moliere	auteur	merveilles17_arc_ankk213_001	pers4
Monsieur	#monsieur		merveilles17_arc_ankk213_001	pers5
sa trouppe	#la_troupe		merveilles17_arc_ankk213_001	pers6
Anthoine Petit	#antoine_petit	fournisseur	merveilles17_arc_anmcrs388_001	pers1
Maistre Charles de Vigarany	#vigarani	organisation	merveilles17_arc_anmcrs388_001	pers2
sieur Vigarany	#vigarani	organisation	merveilles17_arc_anmcrs388_001	pers3
Petit	#antoine_petit	fournisseur	merveilles17_arc_anmcrs388_001	pers4
Petit	#antoine_petit	fournisseur	merveilles17_arc_anmcrs388_001	pers5
sieur Vigarany	#vigarani	organisation	merveilles17_arc_anmcrs388_001	pers6
sieur Vigarany	#vigarani	organisation	merveilles17_arc_anmcrs388_001	pers7
Petit	#antoine_petit	fournisseur	merveilles17_arc_anmcrs388_001	pers8
Petit	#antoine_petit	fournisseur	merveilles17_arc_anmcrs388_001	pers9
sieur Vigarany	#vigarani	organisation	merveilles17_arc_anmcrs388_001	pers10
VIGARANY	#vigarani	organisation	merveilles17_arc_anmcrs388_001	pers11
A. PETIT	#antoine_petit	fournisseur	merveilles17_arc_anmcrs388_001	pers12
CHUPPIN	#simon_chuppin		merveilles17_arc_anmcrs388_001	pers13
LENORMAND	#louis_lenormand		merveilles17_arc_anmcrs388_001	pers14
Roy	#louisxiv		merveilles17_arc_ano12984_001	pers1
Michel daligre	#michel_daligre	organisation	merveilles17_arc_ano12984_001	pers2
Cristophe Gaulard	#christophe_gaulard	organisation	merveilles17_arc_ano12984_001	pers3
Roy			merveilles17_arc_ano12984_001	pers4
Mad.e. La duchesse de Savoye		destinataire	merveilles17_arc_ano12984_001	pers5
Mons. Le duc d’Anguien		destinataire	merveilles17_arc_ano12984_001	pers6
Sa Majesté	#louisxiv	spectateur	merveilles17_arc_ano12984_001	pers7
Antoine Gonzales	#antoine_gonzalez	artificier	merveilles17_arc_ano12984_001	pers8
sa majesté	#louisxiv	commanditaire	merveilles17_arc_ano12984_001	pers9
Louis Lazure	#louis_lazure	organisation	merveilles17_arc_ano12984_001	pers10
Roy	#louisxiv		merveilles17_arc_ano12984_001	pers11
sa Majesté	#louisxiv	commanditaire	merveilles17_arc_ano12984_001	pers12
antoine Gonzalles	#antoine_gonzalez	artificier	merveilles17_arc_ano12984_001	pers13
fran.s Simon		organisation	merveilles17_arc_ano12984_001	pers14
S. M	#louisxiv		merveilles17_arc_ano12984_001	pers15
d’Aligre	#michel_d_aligre	organisation	merveilles17_arc_bnfmscolbert268_038	pers1
Sa Majesté	#louisxiv	commanditaire	merveilles17_arc_bnfmscolbert268_038	pers2
la troupe des comediens	#la_troupe		merveilles17_arc_bnfmscolbert268_038	pers3
Monseigneur le duc d’Orleans	#monsieur		merveilles17_arc_bnfmscolbert268_038	pers4
Michel d’Aligre	#michel_d_aligre	organisation	merveilles17_arc_bnfmscolbert268_038	pers5
Sa Majesté	#louisxiv	commanditaire	merveilles17_arc_bnfmscolbert268_038	pers6
Molieres	#moliere		merveilles17_arc_bnfmscolbert268_038	pers7
Monseigneur le duc d’Orleans	#monsieur		merveilles17_arc_bnfmscolbert268_038	pers8
Sa Majesté	#louisxiv	commanditaire	merveilles17_arc_bnfmscolbert268_038	pers9
la troupe	#la_troupe		merveilles17_arc_bnfmscolbert268_038	pers10
Roy	#louisxiv	commanditaire	merveilles17_i_pie-ballard1	pers1
ROBERT BALLARD	#ballard	imprimeur	merveilles17_i_pie-ballard1	pers2
Roy	#louisxiv		merveilles17_i_pie-ballard1	pers3
sa Majesté	#louisxiv		merveilles17_i_pie-ballard1	pers4
la Reyne	#marie_therese		merveilles17_i_pie-ballard1	pers5
sa Majesté	#louisxiv		merveilles17_i_pie-ballard1	pers6
Monsieur Desbardins	#desbardins		merveilles17_i_pie-ballard1	pers7
Quatre Trompettes		musicien	merveilles17_i_pie-ballard1	pers8
deux Tymballiers		musicien	merveilles17_i_pie-ballard1	pers9
Duc de Saint-Aignan	#saint_aignan	acteur	merveilles17_i_pie-ballard1	pers10
Duc de Saint-Aignan	#saint_aignan	acteur	merveilles17_i_pie-ballard1	pers11
Huit Trompettes		musicien	merveilles17_i_pie-ballard1	pers12
deux Tymballiers		musicien	merveilles17_i_pie-ballard1	pers13
